Key,Producer,Product,Place,Region,Country,Grape,Vintage,Category,ABV,BTG,List Position,Bottle Price,Wholesale Price,BTG Price,BTG Bottle Price,Beer Price,Cider Price,Spirit Price
harmonic-tischbier,Harmonic,Tischbier Lager,San Francisco,,,,,Beer,,,1,$16,$2.25,$2,$7,$5,$4,$1
unibroue-findumonde-tripel,Unibroue,La Fin du Monde Tripel,Montreal,,,,,Beer,,,5,$16,$2.35,$2,$7,$5,$4,$2
baladin-spuma-nera,Baladin,Spuma Nera Amaro Soda,,Piedmont,Italy,,,Soda,,,,$16,$2.40,$2,$8,$5,$4,$2
dupont-farmhouse,Saison Dupont,Farmhouse Ale,,,Belgium,,,Beer,,,4,$16,$2.55,$2,$8,$6,$4,$2
harmonic-original-sim-ipa,Harmonic,Original Sim IPA,San Francisco,,,,,Beer,,,2,$16,$3.00,$3,$10,$6,$5,$2
petrus-aged-pale,Petrus,Aged Pale Ale,,,Belgium,,,Beer,,,,$17,$3.43,$3,$11,$7,$6,$2
hitachino-white,Hitachino Nest,White Ale,,,Japan,,,Beer,,,3,$17,$3.72,$3,$12,$8,$6,$2
brun-bretagne,Le Brun,Cidre de Bretagne Brut,,Brittany,France,,,Cider,,,10,$17,$3.63,$3,$12,$8,$6,$2
duchesse-bourgogne,Duchesse de Bourgogne,Flemish Red,,,Belgium,,,Beer,,,,$18,$4.25,$4,$14,$9,$7,$3
eugen-miller-vom-basalt-15,Eugen Müller,Vom Basalt Kabinett,,Pfalz,Germany,Riesling,2015,White,,checked,20,$27,$8.00,$8,$27,$16,$12,$2
scar-sea-cider-bearcreek-17,Scar of the Sea,Bear Creek Ranch Cider,Santa Cruz,,,,,Cider,,,,$27,$8.17,$8,$27,$17,$13,$4
routas-rose-18,Château Routas,Coteaux Varois,,Provence,France,"Cinsault,Grenache,Syrah",2018,Rosé,,checked,10,$31,$10.00,$10,$34,$20,$15,$3
lageder-alpina-18,Alois Lageder,Terra Alpina,,Alto Adige,Italy,Pinot Grigio,2018,White,,,5,$31,$10.00,$10,$34,$20,$15,$3
adami-garbel,Adami,Garbèl Prosecco,,Treviso,Italy,Glera,NV,Bubbles,,,10,$32,$10.50,$10,$35,$21,$16,$3
cleto-lambrusco-18,Cleto Chiarli,Vecchia Modena,,Emilia-Romagna,Italy,Lambrusco,2018,Bubbles,,checked,30,$32,$10.35,$10,$35,$21,$16,$3
cortese-barbera-16,Cortese,Barbera d'Alba,,Piedmont,Italy,Barbera,2016,Red,,,35,$32,$10.50,$10,$35,$21,$16,$3
vietti-moscato-18,Vietti,Moscato d'Asti,,Piedmont,Italy,Moscato,2018,Dessert,,,1,$33,$10.67,$10,$36,$22,$16,$3
dolin-blanc,Dolin,Blanc,,,France,,,Vermouth,16.0,,,$33,$10.67,$10,$36,$22,$16,$3
dolin-rouge,Dolin,Rouge,,,France,,,Vermouth,17.5,,,$33,$10.67,$10,$36,$22,$16,$3
dolin-dry,Dolin,Dry,,,France,,,Vermouth,17.5,,,$33,$10.67,$10,$36,$22,$16,$3
spinetta-toscana-18,La Spinetta,Toscana,,Tuscany,Italy,Vermentino,2018,White,,checked,10,$34,$11.33,$11,$38,$23,$17,$3
noilly-vermouth-dry,Noilly Prat,Vermouth Extra Dry,,,France,,,Vermouth,18.0,,,$34,$11.31,$11,$38,$23,$17,$3
selvapiana-rufina-16,Fattoria Selvapiana,,Chianti Rùfina,Tuscany,Italy,Sangiovese,2016,Red,,checked,20,$35,$11.50,$11,$39,$23,$18,$3
tilted-shed-inclinado-18,Tilted Shed,Inclinado Basque-Style Cider,Sonoma,,,,,Cider,,,15,$35,$11.50,$11,$39,$23,$18,$5
ruhlman-riesling-17,Domaine Ruhlman,Cuvée Jean-Charles,,Alsace,France,Riesling,2017,White,,,10,$36,$12.00,$12,$40,$24,$18,$3
nigl-gruner-freiheit-18,Nigl,Freiheit,,Kremstal,Austria,Grüner Veltliner,2018,White,,checked,30,$36,$12.00,$12,$40,$24,$18,$3
maufoux-cremant-nv,Prosper Maufoux,Crémant de Bourgogne Blanc,,Burgundy,France,"Chardonnay,Pinot Noir,Gamay",NV,Bubbles,,checked,50,$36,$12.00,$12,$40,$24,$18,$3
pegau-maclura-16,Château Pégau,Cuvée Maclura,,Côtes du Rhône,France,"Grenache,Syrah,Mourvédre",2016,Red,,,30,$36,$12.33,$12,$41,$25,$19,$3
ransom-sweet-vermouth,Ransom,Sweet Vermouth,,Oregon,,,,Vermouth,17.8,,,$39,$13.33,$13,$45,$27,$20,$7
